ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
8	29	177.366667	1027.366667	0.258047	-73.072485	-97.437664	-26.722618	86	0.130702	26.713829	0.430656
8	30	177.600000	1026.600000	0.558588	103.654783	176.727268	156.530296	86	0.163430	26.713829	0.430656
8	31	177.190476	1028.285714	0.736356	-91.781009	164.564208	-7.995975	86	0.127075	26.713829	0.430656
8	32	177.119403	1026.000000	0.227978	73.420576	165.201585	-173.215065	86	0.118840	26.713829	0.430656
8	33	177.321429	1026.678571	0.137058	164.248822	90.828246	95.952089	86	0.132089	26.713829	0.430656
8	34	176.911765	1026.794118	0.155762	109.536652	-54.712170	150.687539	86	0.139360	26.713829	0.430656
8	35	176.750000	1027.250000	0.113844	-134.999996	115.463352	35.237205	86	0.143656	26.713829	0.430656
8	36	176.500000	1027.000000	0.455377	44.999999	179.999995	-144.751574	86	0.119376	26.713829	0.430656
8	37	177.500000	1028.000000	0.336009	-153.194207	161.805794	53.397806	86	0.135271	26.713829	0.430656
8	38	176.568627	1027.529412	0.372725	-77.344865	75.849343	-22.405500	86	0.114983	26.713829	0.430656
8	39	176.822222	1026.400000	0.254376	-150.694920	-73.350055	50.920284	86	0.132325	26.713829	0.430656
8	40	176.133333	1026.013333	0.599463	90.256467	-119.048613	170.002648	86	0.135958	26.713829	0.430656
8	41	176.125000	1027.875000	0.206789	21.571307	-68.685161	-121.294434	86	0.121346	26.713829	0.430656
8	42	176.722222	1028.111111	0.785483	-120.068579	-141.639886	20.315312	86	0.131786	26.713829	0.430656
8	43	175.500000	1026.000000	0.322000	0.000000	120.068579	-99.706650	86	0.103066	26.713829	0.430656
8	44	176.500000	1026.000000	0.161000	89.999997	89.999997	170.239105	86	0.102436	26.713829	0.430656
8	45	176.500000	1026.500000	0.162162	159.537724	69.537727	100.706042	86	0.113295	26.713829	0.430656
8	46	176.028169	1026.676056	0.430901	-61.501836	138.960440	-38.227180	86	0.094166	26.713829	0.430656
8	47	176.666667	1025.500000	0.535719	92.482812	153.984648	167.742580	86	0.094991	26.713829	0.430656
8	48	176.594595	1027.162162	0.286653	123.859940	31.377128	136.384870	86	0.109188	26.713829	0.430656
8	49	176.098592	1027.901408	0.652026	-78.566317	157.573744	-21.155136	86	0.087704	26.713829	0.430656
8	50	176.500000	1025.916667	0.187833	89.999997	168.566314	170.238328	86	0.087142	26.713829	0.430656
8	51	176.500000	1026.500000	0.318503	38.157226	-51.842772	-137.913460	86	0.072138	26.713829	0.430656
8	52	177.277778	1027.111111	0.170198	94.981079	56.823854	165.226243	86	0.076300	26.713829	0.430656
8	53	177.231884	1027.637681	0.209001	-79.250903	-174.231982	-20.534370	86	0.068267	26.713829	0.430656
8	54	177.352941	1027.000000	0.372841	-147.959351	-68.708448	48.161562	86	0.083698	26.713829	0.430656
8	55	176.371429	1026.385714	0.361181	83.418053	-128.622596	176.831619	86	0.084068	26.713829	0.430656
8	56	176.500000	1027.500000	0.358697	-70.836752	-154.254805	-28.910169	86	0.070871	26.713829	0.430656
8	57	176.865672	1026.447761	0.744542	86.669557	157.506309	173.553898	86	0.081811	26.713829	0.430656
8	58	177.000000	1028.756098	0.133638	-175.583479	97.746964	75.821183	86	0.086946	26.713829	0.430656
8	59	176.586207	1028.724138	1.100107	-79.795297	95.788182	-19.944911	86	0.058629	26.713829	0.430656
8	60	177.191489	1025.361702	0.131783	-117.897268	-38.101970	18.092888	86	0.062834	26.713829	0.430656
8	61	177.000000	1025.000000	0.483000	89.999997	-152.102735	170.202624	86	0.059342	26.713829	0.430656
8	62	177.000000	1026.500000	0.294436	89.104824	-0.895174	171.111837	86	0.061945	26.713829	0.430656
8	63	177.014286	1027.414286	0.268210	-73.561401	-162.666225	-26.214173	86	0.053987	26.713829	0.430656
8	64	177.250000	1026.615385	0.144849	139.010100	-147.428499	121.194090	86	0.059859	26.713829	0.430656
8	65	176.910448	1026.910448	0.091451	31.918336	-107.091764	-131.692988	86	0.056515	26.713829	0.430656
8	66	177.151515	1027.060606	0.514891	-77.412304	-109.330641	-22.374006	86	0.048105	26.713829	0.430656
8	67	177.500000	1025.500000	0.456868	113.051298	-169.536398	147.128883	86	0.056012	26.713829	0.430656
8	68	176.944444	1026.805556	0.118537	155.789392	42.738094	104.433135	86	0.061132	26.713829	0.430656
8	69	176.608696	1026.956522	0.369729	-56.412664	147.797944	-43.345207	86	0.049122	26.713829	0.430656
8	70	177.243902	1026.000000	0.526910	89.900179	146.312843	170.298580	86	0.053214	26.713829	0.430656
8	71	177.246753	1027.636364	0.078023	18.758650	-71.141529	-118.544740	86	0.050600	26.713829	0.430656
8	72	177.476190	1027.714286	0.290576	143.583617	124.824968	116.618599	86	0.062687	26.713829	0.430656
8	73	176.750000	1028.250000	0.422318	-59.697318	156.719065	-40.056162	86	0.046494	26.713829	0.430656
8	74	177.411765	1027.117647	0.221767	-135.961245	-76.263927	36.161370	86	0.051083	26.713829	0.430656
8	75	176.916667	1026.638889	0.125323	-45.903643	90.057602	-53.873882	86	0.046616	26.713829	0.430656
8	76	177.187500	1026.359375	0.129393	107.821329	153.724972	152.383853	86	0.048796	26.713829	0.430656
8	77	177.064516	1026.741935	0.400442	-92.973728	159.204942	-6.810846	86	0.048434	26.713829	0.430656
8	78	177.000000	1025.500000	0.218671	66.974506	159.948235	-166.767200	86	0.043940	26.713829	0.430656
8	79	177.265625	1026.125000	0.435858	-7.149983	-74.124489	-92.651264	86	0.025583	26.713829	0.430656
8	80	178.608696	1025.956522	0.289508	69.742298	76.892281	-169.617939	86	0.023430	26.713829	0.430656
8	81	178.920000	1026.800000	0.466548	-140.907881	149.349821	41.023333	86	0.035180	26.713829	0.430656
8	82	177.795455	1025.886364	0.425236	21.068974	161.976855	-120.901188	86	0.019585	26.713829	0.430656
8	83	179.027778	1026.361111	0.600573	-13.680270	-34.749245	-86.214260	86	0.003679	26.713829	0.430656
8	84	180.840000	1025.920000	0.334816	-32.773063	-19.092793	-67.223826	86	0.016121	26.713829	0.430656
8	85	181.714286	1025.357143					86		26.713829	0.430656
9	0	525.631579	1040.210526	0.914753	100.913088		142.278866	70	1.000000	164.738984	32.545746
9	1	525.093750	1043.000000	0.645097	-86.658396	172.428516	-30.064368	70	0.184701	164.738984	32.545746
9	2	525.210526	1041.000000	0.507262	-156.861250	-70.202854	40.089167	70	0.292452	164.738984	32.545746
9	3	523.761905	1040.380952	0.291617	164.009619	-39.129130	79.268201	70	0.378453	164.738984	32.545746
9	4	522.891304	1040.630435	0.792811	-106.747696	89.242684	-9.930708	70	0.404271	164.738984	32.545746
9	5	522.181818	1038.272727	2.088230	-33.991448	72.756248	-82.707890	70	0.361825	164.738984	32.545746
9	6	527.558824	1034.647059	1.445157	-28.580492	5.410956	-88.436200	70	0.466735	164.738984	32.545746
9	7	531.500000	1032.500000	2.691710	127.626230	156.206723	115.135723	70	0.045725	164.738984	32.545746
9	8	526.396552	1039.120690	1.076232	35.583863	-92.042367	-152.449669	70	0.110485	164.738984	32.545746
9	9	529.114754	1041.065574	2.125840	-160.701830	163.714307	43.760177	70	0.078113	164.738984	32.545746
9	10	522.883721	1038.883721	0.528673	-147.435437	13.266392	30.718732	70	0.115112	164.738984	32.545746
9	11	521.500000	1038.000000	0.437442	121.534789	-91.029774	121.789873	70	0.117800	164.738984	32.545746
